"c","y","dif.yoy","Total Inv","Ind_GDP","Forestkm","HDI"
"Argentina",2006,0.34286%,121,35.11,303592,0.77
"Bolivia",2006,8.55936%,0,35.08,584264,0.64
"Brazil",2006,-18.31021%,5000,28.75,5282996,0.71
"Chile",2006,2.18611%,300,44.91,160806,0.78
"Colombia",2006,0.54630%,203,33.8,609030,0.69
"Costa Rica",2006,3.08566%,192,29.18,25138,0.73
"Dominican Republic",2006,7.36496%,0,32.16,19720,0.68
"Ecuador",2006,0.27254%,131,35.64,106554,0.69
"Guatemala",2006,1.94606%,154,30.09,38818,0.58
"Honduras",2006,-2.12452%,43,29.33,56720,0.59
"Mexico",2006,2.03281%,189,36.37,654228,0.73
"Nicaragua",2006,0.65427%,129,23.22,33940,0.59
"Panama",2006,2.09596%,8,16.58,32982,0.74
"Paraguay",2006,-0.38184%,8,33.29,182964,0.65
"Peru",2006,24.56108%,59,39.29,685920,0.7
"Trinidad & Tobago",2006,13.70291%,0,61.26,2292.8,0.75
"Uruguay",2006,-43.40655%,24,26.39,15648,0.76
"Venezuela",2006,-1.48025%,0,56.48,474254,0.73
"Argentina",2007,1.97623%,377,33.61,301194,0.77
"Bolivia",2007,0.84634%,0,36.39,581188,0.64
"Brazil",2007,0.65511%,12800,27.81,5261052,0.72
"Chile",2007,10.50968%,300,43.7,161182,0.79
"Colombia",2007,0.98068%,325,33.69,608020,0.69
"Costa Rica",2007,23.45059%,0,29.27,25366,0.74
"Dominican Republic",2007,2.66840%,38,31.56,19720,0.68
"Ecuador",2007,1.13345%,21,36.23,104578,0.69
"Guatemala",2007,2.31214%,30,29.73,38256,0.6
"Honduras",2007,4.19489%,42,28.56,55520,0.6
"Mexico",2007,3.40181%,767,36.1,652676,0.74
"Nicaragua",2007,0.61323%,95,23.22,33240,0.6
"Panama",2007,-0.31136%,67,20.17,32864,0.75
"Paraguay",2007,0.75140%,132,31.69,181178,0.65
"Peru",2007,2.33866%,193,41.11,684420,0.7
"Trinidad & Tobago",2007,3.54230%,0,62.07,2285.6,0.76
"Uruguay",2007,-0.60397%,5,27.18,16096,0.77
"Venezuela",2007,-2.31953%,0,53.31,471378,0.75
"Argentina",2008,3.36999%,519,33.12,298796,0.78
"Bolivia",2008,0.94242%,0,38.36,578112,0.65
"Brazil",2008,0.94071%,15400,27.9,5239108,0.73
"Chile",2008,2.06173%,1100,38.49,161558,0.81
"Colombia",2008,0.93766%,284,35.49,607010,0.7
